sample	classifier	assembler	tp	tn	fp	fn	accuracy	precision	recall	specificity	false_positive_rate	f1_score
Sample 0	viralverify	mpspades	18	98	1	81	0.5858585858585859	0.9473684210526315	0.18181818181818182	0.98989898989899	0.010101010101010102	0.3050847457627119
Sample 0	viralverify	megahit	20	210558	87	88	0.9991696440857307	0.18691588785046728	0.18518518518518517	0.9995869828384248	4.13017161575162e-4	0.18604651162790697
Sample 0	genomad	mpspades	57	78	21	42	0.6818181818181818	0.7307692307692307	0.5757575757575758	0.7878787878787878	0.21212121212121213	0.6440677966101696
Sample 0	genomad	megahit	61	209940	705	47	0.9964318420141113	0.07963446475195822	0.5648148148148148	0.9966531367941323	0.003346863205867692	0.13958810068649885
Sample 0	mobrecon	mpspades	2	98	1	97	0.5050505050505051	0.6666666666666666	0.020202020202020204	0.98989898989899	0.010101010101010102	0.03921568627450981
Sample 0	mobrecon	megahit	5	210159	486	103	0.9972052592371164	0.010183299389002037	0.046296296296296294	0.9976928006836147	0.0023071993163853877	0.01669449081803005
Sample 0	plasclass	mpspades	30	74	25	69	0.5252525252525253	0.5454545454545454	0.30303030303030304	0.7474747474747475	0.25252525252525254	0.3896103896103897
Sample 0	plasclass	megahit	32	185826	24819	76	0.8818759400815173	0.0012876745402599493	0.2962962962962963	0.8821761731823684	0.11782382681763157	0.002564205296686566
Sample 0	plasmidfinder	mpspades	0	99	0	99	0.5	NA	0	1	0	NA
Sample 0	plasmidfinder	megahit	0	210642	3	108	0.9994733171058063	0	0	0.9999857580289112	1.424197108879869e-5	NA
Sample 0	plasme	mpspades	16	85	14	83	0.51010101010101	0.5333333333333333	0.16161616161616163	0.8585858585858586	0.1414141414141414	0.24806201550387597
Sample 0	plasme	megahit	21	205140	5505	87	0.9734665698708915	0.003800217155266015	0.19444444444444445	0.9738659830520544	0.026134016947945597	0.007454739084132055
Sample 0	platon	mpspades	99	0	99	0	0.5	0.5	1	0	1	0.6666666666666666
Sample 0	platon	megahit	106	210320	325	2	0.9984484206630511	0.2459396751740139	0.9814814814814815	0.9984571197987134	0.0015428802012865247	0.3933209647495362
Sample 0	dmc	mpspades	83	37	62	16	0.6060606060606061	0.5724137931034483	0.8383838383838383	0.37373737373737376	0.6262626262626263	0.680327868852459
Sample 0	dmc	megahit	93	186369	24276	15	0.8847418542084811	0.0038163240182198695	0.8611111111111112	0.884753969949441	0.115246030050559	0.007598970462066429
Sample 0	plasx09	mpspades	55	86	13	44	0.7121212121212122	0.8088235294117647	0.5555555555555556	0.8686868686868687	0.13131313131313133	0.6586826347305389
Sample 0	plasx075	mpspades	68	76	23	31	0.7272727272727273	0.7472527472527473	0.6868686868686869	0.7676767676767676	0.23232323232323232	0.7157894736842105
Sample 0	plasx05	mpspades	77	67	32	22	0.7272727272727273	0.7064220183486238	0.7777777777777778	0.6767676767676768	0.32323232323232326	0.7403846153846154
Sample 0	plasx09	megahit	60	210576	69	48	0.9994448477601743	0.46511627906976744	0.5555555555555556	0.9996724346649576	3.2756533504236986e-4	0.5063291139240507
