classifier	assembler	sample	TP_genomes	FP_genomes	FN_genomes	precision_genome	recall_genome	f1_score_genome	total_reference_genomes	predicted_genomes_with_plasmids	total_contigs	predicted_plasmid_contigs	unmapped_predicted_plasmids	total_correctly_predicted_contigs	total_missed_contigs
DMC	megahit	0	94	44810	14	0.0020933547122750757	0.8703703703703703	0.004176664000710921	108	94	401783	44965	44810	97	53
DMC	megahit	1	82	53495	12	0.0015305074938873023	0.8723404255319149	0.0030556538913007023	94	82	508942	53631	53495	85	21
DMC	megahit	2	81	60556	13	0.0013358180648778799	0.8617021276595744	0.0026675009467981756	94	81	524111	60689	60556	84	52
DMC	megahit	3	87	57273	15	0.0015167364016736402	0.8529411764705882	0.0030280881278062026	102	87	524058	57433	57273	102	72
DMC	megahit	4	70	39139	17	0.0017853043943992452	0.8045977011494253	0.003562703583061889	87	70	360048	39263	39139	79	56
DMC	megahit	5	75	41639	13	0.001797957520256988	0.8522727272727273	0.0035883450552605138	88	75	401064	41784	41639	88	71
DMC	megahit	6	72	48484	15	0.0014828239558447977	0.8275862068965517	0.002960343728799622	87	72	457606	48606	48484	75	50
DMC	megahit	7	74	48146	14	0.0015346329323931978	0.8409090909090909	0.0030636747536639895	88	74	428985	48268	48146	77	31
DMC	megahit	8	83	58800	12	0.0014095749197561265	0.8736842105263158	0.0028146088371935295	95	83	540913	58937	58800	89	39
DMC	megahit	9	66	43289	16	0.0015223157651943259	0.8048780487804879	0.00303888390082188	82	66	417836	43397	43289	69	39
DMC	mpSPAdes	0	83	4	16	0.9540229885057471	0.8383838383838383	0.8924731182795698	99	83	198	145	4	83	16
DMC	mpSPAdes	1	68	6	13	0.918918918918919	0.8395061728395061	0.8774193548387097	81	68	154	111	6	68	13
DMC	mpSPAdes	2	72	5	11	0.935064935064935	0.8674698795180723	0.9	83	72	163	117	5	72	11
DMC	mpSPAdes	3	74	7	11	0.9135802469135802	0.8705882352941177	0.8915662650602408	85	74	158	116	7	74	11
DMC	mpSPAdes	4	54	10	9	0.84375	0.8571428571428571	0.8503937007874015	63	54	130	94	10	54	9
DMC	mpSPAdes	5	48	6	10	0.8888888888888888	0.8275862068965517	0.8571428571428572	58	48	124	87	6	48	10
DMC	mpSPAdes	6	51	11	12	0.8225806451612904	0.8095238095238095	0.8160000000000001	63	51	135	93	11	51	12
DMC	mpSPAdes	7	57	6	9	0.9047619047619048	0.8636363636363636	0.8837209302325582	66	57	134	101	6	57	9
DMC	mpSPAdes	8	69	10	12	0.8734177215189873	0.8518518518518519	0.8624999999999999	81	69	157	110	10	69	12
DMC	mpSPAdes	9	53	10	7	0.8412698412698413	0.8833333333333333	0.8617886178861788	60	53	131	93	10	53	7
genomad	megahit	0	61	1208	47	0.04806934594168637	0.5648148148148148	0.08859840232389252	108	61	401783	1287	1208	61	89
genomad	megahit	1	52	1154	42	0.04311774461028192	0.5531914893617021	0.07999999999999999	94	52	508942	1223	1154	54	52
genomad	megahit	2	53	1241	41	0.04095826893353941	0.5638297872340425	0.07636887608069165	94	53	524111	1306	1241	54	82
genomad	megahit	3	57	1185	45	0.04589371980676329	0.5588235294117647	0.08482142857142858	102	57	524058	1255	1185	57	117
genomad	megahit	4	50	896	37	0.052854122621564484	0.5747126436781609	0.0968054211035818	87	50	360048	960	896	52	83
genomad	megahit	5	50	887	38	0.05336179295624333	0.5681818181818182	0.0975609756097561	88	50	401064	948	887	50	109
genomad	megahit	6	46	1133	41	0.039016115351993216	0.5287356321839081	0.07266982622432859	87	46	457606	1189	1133	46	79
genomad	megahit	7	53	1004	35	0.050141911069063384	0.6022727272727273	0.09257641921397379	88	53	428985	1073	1004	56	52
genomad	megahit	8	53	965	42	0.05206286836935167	0.5578947368421052	0.09523809523809523	95	53	540913	1028	965	53	75
genomad	megahit	9	49	950	33	0.04904904904904905	0.5975609756097561	0.09065679925994449	82	49	417836	1012	950	51	57
genomad	mpSPAdes	0	57	2	42	0.9661016949152542	0.5757575757575758	0.7215189873417721	99	57	198	78	2	57	42
genomad	mpSPAdes	1	44	3	37	0.9361702127659575	0.5432098765432098	0.6875	81	44	154	60	3	44	37
genomad	mpSPAdes	2	48	4	35	0.9230769230769231	0.5783132530120482	0.7111111111111112	83	48	163	64	4	48	35
genomad	mpSPAdes	3	50	5	35	0.9090909090909091	0.5882352941176471	0.7142857142857143	85	50	158	66	5	50	35
