classifier	assembler	sample	TP	FP	FN	precision	recall	f1_score	total_contigs	true_plasmids	predicted_plasmids
DMC	megahit	0	97	44868	53	0.0021572334037584786	0.6466666666666666	0.004300121910672725	401783	150	44965
DMC	megahit	1	85	53546	21	0.0015849042531371781	0.8018867924528302	0.0031635558367605187	508942	106	53631
DMC	megahit	2	83	60606	52	0.0013676284005338694	0.6148148148148148	0.0027291858476917005	524111	135	60689
DMC	megahit	3	101	57332	72	0.0017585708564762418	0.5838150289017341	0.0035065791757803006	524058	173	57433
DMC	megahit	4	79	39184	56	0.002012072434607646	0.5851851851851851	0.004010355855627189	360048	135	39263
DMC	megahit	5	88	41696	71	0.002106069308826345	0.5534591194968553	0.004196170993968004	401064	159	41784
DMC	megahit	6	74	48532	50	0.0015224457885857712	0.5967741935483871	0.003037143443463985	457606	124	48606
DMC	megahit	7	76	48192	31	0.0015745421397198973	0.7102803738317757	0.003142118863049096	428985	107	48268
DMC	megahit	8	89	58848	39	0.0015100870420957971	0.6953125	0.0030136290527385083	540913	128	58937
DMC	megahit	9	69	43328	39	0.0015899716570269835	0.6388888888888888	0.003172049189748305	417836	108	43397
DMC	mpSPAdes	0	83	62	16	0.5724137931034483	0.8383838383838383	0.680327868852459	198	99	145
DMC	mpSPAdes	1	68	43	13	0.6126126126126126	0.8395061728395061	0.7083333333333333	154	81	111
DMC	mpSPAdes	2	71	46	11	0.6068376068376068	0.8658536585365854	0.7135678391959799	163	82	117
DMC	mpSPAdes	3	74	42	11	0.6379310344827587	0.8705882352941177	0.736318407960199	158	85	116
DMC	mpSPAdes	4	54	40	9	0.574468085106383	0.8571428571428571	0.6878980891719746	130	63	94
DMC	mpSPAdes	5	48	39	10	0.5517241379310345	0.8275862068965517	0.6620689655172414	124	58	87
DMC	mpSPAdes	6	51	42	12	0.5483870967741935	0.8095238095238095	0.6538461538461537	135	63	93
DMC	mpSPAdes	7	57	44	9	0.5643564356435643	0.8636363636363636	0.6826347305389221	134	66	101
DMC	mpSPAdes	8	69	41	12	0.6272727272727273	0.8518518518518519	0.7225130890052356	157	81	110
DMC	mpSPAdes	9	53	40	7	0.5698924731182796	0.8833333333333333	0.69281045751634	131	60	93
genomad	megahit	0	61	1226	89	0.0473970473970474	0.4066666666666667	0.0848990953375087	401783	150	1287
genomad	megahit	1	54	1169	52	0.044153720359771054	0.5094339622641509	0.08126410835214447	508942	106	1223
genomad	megahit	2	53	1253	82	0.04058192955589587	0.3925925925925926	0.07356002775850104	524111	135	1306
genomad	megahit	3	57	1198	116	0.04541832669322709	0.32947976878612717	0.07983193277310924	524058	173	1255
genomad	megahit	4	52	908	83	0.05416666666666667	0.3851851851851852	0.09497716894977168	360048	135	960
genomad	megahit	5	50	898	109	0.052742616033755275	0.31446540880503143	0.09033423667570008	401064	159	948
genomad	megahit	6	45	1144	79	0.03784693019343986	0.3629032258064516	0.06854531607006854	457606	124	1189
genomad	megahit	7	55	1018	52	0.05125815470643057	0.514018691588785	0.09322033898305085	428985	107	1073
genomad	megahit	8	53	975	75	0.05155642023346303	0.4140625	0.09169550173010381	540913	128	1028
genomad	megahit	9	51	961	57	0.05039525691699605	0.4722222222222222	0.09107142857142857	417836	108	1012
genomad	mpSPAdes	0	57	21	42	0.7307692307692307	0.5757575757575758	0.6440677966101696	198	99	78
genomad	mpSPAdes	1	44	16	37	0.7333333333333333	0.5432098765432098	0.624113475177305	154	81	60
genomad	mpSPAdes	2	47	17	35	0.734375	0.573170731707317	0.6438356164383561	163	82	64
genomad	mpSPAdes	3	50	16	35	0.7575757575757576	0.5882352941176471	0.6622516556291391	158	85	66
genomad	mpSPAdes	4	36	18	27	0.6666666666666666	0.5714285714285714	0.6153846153846153	130	63	54
genomad	mpSPAdes	5	35	9	23	0.7954545454545454	0.603448275862069	0.6862745098039215	124	58	44
genomad	mpSPAdes	6	39	13	24	0.75	0.6190476190476191	0.6782608695652174	135	63	52
genomad	mpSPAdes	7	42	16	24	0.7241379310344828	0.6363636363636364	0.6774193548387097	134	66	58
genomad	mpSPAdes	8	47	18	34	0.7230769230769231	0.5802469135802469	0.6438356164383562	157	81	65
