Reference_Genome	source	accession	mpspades_detection	megahit_detection
RNODE_125_length_3363_cov_4.82640	de novo	mmseqs_25_761650	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_5_40714128	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_25_1376599	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_25_1297676	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_20_1376599	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_20_1691092	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_5_1679331	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_60_1042080	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_50_40394942	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_50_1428146	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_50_45225481	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_40_48955660	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_40_34107068	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_40_34331647	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_30_48955660	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_30_44052532	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_30_48947628	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_30_43282270	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_30_46950473	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_30_34331647	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_25_38998507	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_25_37830928	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_20_40733666	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_20_34107068	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_20_43282270	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_5_1706182	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_5_34107068	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_5_36582181	detected	detected
RNODE_228_length_3093_cov_6.42006	de novo	mmseqs_5_646161	detected	detected
RNODE_74_length_1811_cov_7.67971	de novo	mmseqs_5_260690	undetected_genomad_plasx	undetected_genomad_plasx
RNODE_254_length_2341_cov_33.31005	de novo	mmseqs_20_194499	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_25_857195	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_857195	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_5_1745470	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_70_40679785	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_70_38271905	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_42318500	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_36523750	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_47182331	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_35436459	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_45967134	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_38168615	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_33365065	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_48486347	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_18662681	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_40880282	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_35450390	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_41040176	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_60_35539648	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_50_45165562	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_50_38912533	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_50_2089135	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_50_23748869	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_40_39928816	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_40_43010925	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_40_46764897	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_40_23708896	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_40_40673552	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_40_24404813	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_40_2959968	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_46716923	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_2959968	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_25859599	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_50164861	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_38462021	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_46144984	detected	detected
RNODE_435_length_5602_cov_25.16136	de novo	mmseqs_30_38607935	detected	detected
