genome_id	contig_length	coverage	mpspades_detection	megahit_detection	GC_content	num_gene_calls	known_status
RNODE_146_length_5606_cov_4.42067	5606	4.42067	detected	detected	58.33	11	combined
RNODE_234_length_1595_cov_9.13223	1595	9.13223	undetected_genomad_plasx	undetected_genomad_plasx	58.04	3	no fams
RNODE_372_length_2448_cov_3.45466	2448	3.45466	detected	detected	33.22	3	known
RNODE_109_length_1521_cov_3.43229	1521	3.43229	undetected_genomad_plasx	undetected_genomad_plasx	57.57	2	combined
RNODE_74_length_1811_cov_7.67971	1811	7.67971	undetected_genomad_plasx	undetected_genomad_plasx	57.74	3	combined
RNODE_125_length_3363_cov_4.82640	3363	4.8264	detected	detected	36.16	4	combined
RNODE_254_length_2341_cov_33.31005	2341	33.31005	detected	detected	33.59	4	combined
RNODE_171_length_3474_cov_9.39716	3474	9.39716	detected	detected	46.21	5	combined
RNODE_411_length_4317_cov_4.49267	4317	4.49267	detected	detected	64.26	8	combined
RNODE_559_length_3361_cov_13.97064	3361	13.97064	detected	detected	57.82	6	combined
RNODE_534_length_10183_cov_8.47628	10183	8.47628	undetected_genomad	undetected_genomad	59.63	12	combined
RNODE_56_length_2028_cov_4.74177	2028	4.74177	undetected_genomad	undetected_genomad	46.56	3	known
RNODE_227_length_4381_cov_5.48337	4381	5.48337	detected	detected	36.36	5	combined
RNODE_496_length_8599_cov_9.53327	8599	9.53327	detected	detected	44.66	13	combined
RNODE_322_length_4175_cov_18.22923	4175	18.22923	detected	detected	59.11	5	combined
RNODE_32_length_11742_cov_6.79514	11742	6.79514	detected	detected	67.62	13	combined
RNODE_220_length_2011_cov_9.40825	2011	9.40825	undetected_genomad_plasx	undetected_genomad	39.17	3	known
RNODE_562_length_2033_cov_5.34232	2033	5.34232	undetected_genomad	undetected_genomad	55.3	2	combined
RNODE_54_length_5865_cov_60.48297	5865	60.48297	detected	detected	45.56	7	combined
RNODE_133_length_1956_cov_5.95398	1956	5.95398	detected	detected	51.29	3	combined
RNODE_487_length_5196_cov_22.71473	5196	22.71473	detected	detected	34.08	7	known
RNODE_38_length_1552_cov_8.47059	1552	8.47059	undetected_genomad_plasx	undetected_genomad_plasx	60.33	2	combined
RNODE_498_length_2044_cov_7.98216	2044	7.98216	undetected_genomad	undetected_genomad	36.5	1	combined
RNODE_468_length_1541_cov_8.66960	1541	8.6696	undetected_genomad	undetected_genomad	57.18	2	combined
RNODE_362_length_3387_cov_8.21902	3387	8.21902	detected	detected	35.07	5	combined
RNODE_93_length_1501_cov_3.34415	1501	3.34415	undetected_genomad_plasx	undetected_genomad_plasx	56.39	3	combined
RNODE_156_length_3948_cov_63.43887	3948	63.43887	detected	detected	61.46	4	combined
RNODE_225_length_25884_cov_6.69550	25884	6.6955	detected	detected	61.95	38	combined
RNODE_228_length_3093_cov_6.42006	3093	6.42006	detected	detected	39.6	6	combined
RNODE_50_length_1796_cov_6.24352	1796	6.24352	detected	detected	35.34	2	known
RNODE_360_length_7414_cov_9.06737	7414	9.06737	detected	detected	59.63	6	combined
RNODE_251_length_2763_cov_28.99562	2763	28.99562	undetected_genomad	undetected_genomad	39.26	3	combined
RNODE_315_length_1516_cov_8.44846	1516	8.44846	undetected_genomad_plasx	undetected_genomad_plasx	48.06	2	known
RNODE_149_length_1949_cov_4.19357	1949	4.19357	detected	detected	50.91	1	combined
RNODE_428_length_4686_cov_43.92415	4686	43.92415	detected	detected	59.63	5	combined
RNODE_258_length_1627_cov_2.34517	1627	2.34517	undetected_genomad	undetected_genomad	50.16	3	known
RNODE_139_length_3589_cov_11.15335	3589	11.15335	undetected_genomad	undetected_genomad	37.87	4	known
RNODE_576_length_3043_cov_26.79081	3043	26.79081	detected	detected	50.82	5	combined
RNODE_324_length_1537_cov_10.20528	1537	10.20528	undetected_genomad_plasx	undetected_genomad_plasx	59.54	3	known
RNODE_435_length_5602_cov_25.16136	5602	25.16136	detected	detected	63.56	7	combined
RNODE_513_length_2330_cov_8.01964	2330	8.01964	undetected_genomad_plasx	undetected_genomad_plasx	50.79	3	known
RNODE_474_length_1569_cov_5.24895	1569	5.24895	undetected_genomad_plasx	undetected_genomad_plasx	50.56	3	combined
RNODE_383_length_2253_cov_7.64097	2253	7.64097	detected	detected	34.6	2	known
