Target_Sequence	Num_Query_Sequences	Sample Number
RNODE_100_length_1999_cov_6.33080	1	0
RNODE_107_length_1496_cov_161.33989	1	0
RNODE_108_length_2015_cov_7.02007	1	0
RNODE_109_length_1521_cov_3.43229	1	0
RNODE_10_length_6468_cov_8.06035	1	0
RNODE_110_length_1672_cov_10.73939	1	0
RNODE_114_length_10406_cov_5.47746	1	0
RNODE_116_length_4192_cov_3.28201	1	0
RNODE_122_length_6709_cov_4.03320	2	0
RNODE_125_length_3363_cov_4.82640	1	0
RNODE_126_length_3157_cov_3.75885	1	0
RNODE_127_length_1885_cov_8.56361	1	0
RNODE_133_length_1956_cov_5.95398	1	0
RNODE_134_length_2327_cov_32.11800	1	0
RNODE_137_length_1431_cov_4.57559	1	0
RNODE_139_length_3589_cov_11.15335	1	0
RNODE_142_length_2406_cov_5.09941	1	0
RNODE_146_length_5606_cov_4.42067	1	0
RNODE_147_length_1816_cov_3.48216	1	0
RNODE_149_length_1949_cov_4.19357	1	0
RNODE_14_length_1961_cov_5.54358	1	0
RNODE_150_length_1379_cov_3.97642	1	0
RNODE_154_length_1869_cov_12.27991	1	0
RNODE_156_length_3948_cov_63.43887	1	0
RNODE_158_length_1640_cov_4.51607	1	0
RNODE_159_length_3592_cov_2.43025	1	0
RNODE_166_length_2298_cov_14.88049	1	0
RNODE_171_length_3474_cov_9.39716	12	0
RNODE_173_length_1764_cov_3.34845	1	0
RNODE_17_length_1254_cov_4.43994	1	0
RNODE_180_length_2647_cov_2.76800	1	0
RNODE_18_length_1746_cov_2.65719	1	0
RNODE_193_length_1789_cov_7.19864	1	0
RNODE_200_length_4574_cov_2.94178	1	0
RNODE_205_length_1591_cov_9.63735	1	0
RNODE_207_length_2195_cov_3.75886	1	0
RNODE_218_length_1465_cov_7.29868	1	0
RNODE_220_length_2011_cov_9.40825	1	0
RNODE_224_length_2083_cov_4.45463	1	0
RNODE_225_length_25884_cov_6.69550	2	0
RNODE_227_length_4381_cov_5.48337	2	0
RNODE_228_length_3093_cov_6.42006	2	0
RNODE_229_length_2135_cov_3.06673	1	0
RNODE_234_length_1595_cov_9.13223	1	0
RNODE_235_length_2608_cov_55.03480	1	0
RNODE_243_length_1453_cov_2.63382	1	0
RNODE_248_length_5318_cov_4.74604	1	0
RNODE_24_length_2639_cov_14.02331	1	0
RNODE_251_length_2763_cov_28.99562	6	0
RNODE_254_length_2341_cov_33.31005	1	0
RNODE_258_length_1627_cov_2.34517	1	0
RNODE_259_length_1574_cov_100.84149	1	0
RNODE_25_length_1750_cov_3.28993	1	0
RNODE_263_length_2277_cov_8.44168	1	0
RNODE_265_length_1287_cov_4.20553	1	0
RNODE_266_length_6653_cov_7.97753	2	0
RNODE_277_length_1592_cov_15.82548	1	0
RNODE_279_length_3658_cov_27.56711	1	0
RNODE_283_length_5699_cov_25.39792	1	0
RNODE_290_length_1262_cov_19.53548	1	0
RNODE_291_length_2033_cov_2.59025	1	0
RNODE_294_length_6942_cov_7.24595	1	0
RNODE_307_length_2104_cov_13.21902	1	0
RNODE_308_length_1875_cov_5.96654	1	0
RNODE_309_length_1659_cov_3.16188	1	0
RNODE_311_length_2760_cov_6.45983	2	0
RNODE_314_length_6164_cov_50.81211	1	0
RNODE_315_length_1516_cov_8.44846	1	0
RNODE_318_length_3470_cov_3.16589	1	0
RNODE_31_length_1357_cov_12.09363	1	0
RNODE_320_length_4859_cov_4.38495	1	0
RNODE_322_length_4175_cov_18.22923	1	0
RNODE_323_length_1696_cov_4.05556	1	0
RNODE_324_length_1537_cov_10.20528	1	0
RNODE_32_length_11742_cov_6.79514	1	0
RNODE_336_length_3563_cov_7.20249	1	0
RNODE_337_length_8771_cov_5.18162	1	0
RNODE_338_length_1509_cov_4.27236	1	0
RNODE_339_length_1478_cov_5.31250	1	0
RNODE_33_length_1778_cov_2.60592	1	0
RNODE_341_length_3219_cov_3.63466	1	0
RNODE_342_length_1543_cov_10.88823	1	0
RNODE_343_length_2376_cov_8.77188	1	0
RNODE_346_length_1757_cov_2.65187	1	0
RNODE_350_length_2314_cov_37.19546	1	0
RNODE_355_length_1663_cov_6.12066	1	0
RNODE_359_length_13543_cov_22.66711	1	0
RNODE_360_length_7414_cov_9.06737	1	0
RNODE_361_length_3164_cov_8.88447	1	0
RNODE_362_length_3387_cov_8.21902	1	0
RNODE_364_length_1571_cov_3.81278	1	0
RNODE_366_length_2053_cov_8.47415	1	0
RNODE_367_length_2322_cov_4.57652	1	0
RNODE_368_length_1901_cov_5.06386	1	0
RNODE_36_length_1303_cov_4.84934	1	0
RNODE_372_length_2448_cov_3.45466	1	0
RNODE_374_length_1862_cov_9.75489	1	0
RNODE_381_length_1819_cov_13.04118	1	0
RNODE_383_length_2253_cov_7.64097	1	0
RNODE_386_length_2437_cov_8.66377	1	0
RNODE_38_length_1552_cov_8.47059	1	0
RNODE_390_length_5825_cov_8.78167	1	0
RNODE_392_length_2136_cov_7.00284	1	0
RNODE_393_length_3465_cov_6.98635	1	0
RNODE_394_length_3642_cov_5.12873	1	0
RNODE_396_length_4766_cov_5.16589	1	0
RNODE_400_length_5708_cov_9.81991	1	0
RNODE_404_length_3462_cov_2.92616	1	0
RNODE_407_length_46658_cov_49.66972	2	0
RNODE_408_length_3585_cov_3.79764	1	0
RNODE_40_length_6491_cov_8.96924	1	0
RNODE_411_length_4317_cov_4.49267	1	0
RNODE_415_length_2147_cov_6.45506	1	0
RNODE_417_length_2670_cov_14.84403	1	0
RNODE_418_length_1505_cov_4.15172	1	0
RNODE_420_length_1334_cov_5.52134	1	0
RNODE_423_length_1943_cov_28.57781	1	0
RNODE_428_length_4686_cov_43.92415	1	0
RNODE_429_length_2129_cov_51.99106	1	0
RNODE_431_length_1803_cov_5.36772	1	0
RNODE_432_length_14865_cov_28.53268	2	0
RNODE_434_length_14801_cov_23.79494	1	0
RNODE_435_length_5602_cov_25.16136	1	0
RNODE_436_length_6429_cov_48.44919	1	0
RNODE_439_length_4196_cov_56.49278	1	0
RNODE_440_length_3551_cov_9.74435	1	0
RNODE_442_length_4465_cov_7.11694	1	0
RNODE_443_length_1591_cov_6.87251	1	0
RNODE_444_length_4937_cov_48.00188	1	0
RNODE_451_length_4052_cov_6.62773	1	0
RNODE_455_length_4124_cov_9.17267	1	0
RNODE_456_length_1695_cov_36.79753	1	0
RNODE_459_length_2383_cov_4.68776	1	0
RNODE_462_length_1528_cov_6.07822	1	0
