reference_genomes	contigs	ID	renamed_contigs	megahit_detection	num_gene_calls_reference	plasx_score	genomad_score	genomad_identified	plasx_identified	CAMI_Sample	name	contig_length	GC_contig	0	1	num_gene_calls_contig
RNODE_107_length_1496_cov_161.33989	k141_402265	plasmid	c_000000401689	detected	1	0.8981257399894975	0.0232	False	False	0	k141_402265	1615	0.64	c_000000401689	k141_402265	2.0
RNODE_109_length_1521_cov_3.43229	k141_402156	plasmid	c_000000401580	undetected_genomad_plasx	2	0.6869120984505906	0.6378	False	False	0	k141_402156	1640	0.57	c_000000401580	k141_402156	3.0
RNODE_110_length_1672_cov_10.73939	k141_402205	plasmid	c_000000401629	undetected_genomad_plasx	2		0.6888	False	False	0	k141_402205	1791	0.52	c_000000401629	k141_402205	3.0
RNODE_116_length_4192_cov_3.28201	k141_402167	plasmid	c_000000401591	detected	7	0.9578941627586022	0.999	True	True	0	k141_402167	4311	0.36	c_000000401591	k141_402167	6.0
RNODE_122_length_6709_cov_4.03320	k141_129699	plasmid	c_000000132083	detected	9	0.1163244680691008	0.999	True	False	0	k141_129699	6807	0.56	c_000000132083	k141_129699	9.0
RNODE_122_length_6709_cov_4.03320	k141_169899	plasmid	c_000000210296	detected	9	0.4528958960810755	0.023	False	False	0	k141_169899	358	0.58	c_000000210296	k141_169899	1.0
RNODE_125_length_3363_cov_4.82640	k141_402124	plasmid	c_000000401548	detected	4	0.9809320310840036	0.9987	True	True	0	k141_402124	3482	0.36	c_000000401548	k141_402124	4.0
RNODE_133_length_1956_cov_5.95398	k141_402080	plasmid	c_000000401504	detected	3	0.981838268585536	0.997	True	True	0	k141_402080	2075	0.52	c_000000401504	k141_402080	3.0
RNODE_139_length_3589_cov_11.15335	k141_402082	plasmid	c_000000401506	undetected_genomad	4	0.9982038235413636	0.9064	False	True	0	k141_402082	3686	0.38	c_000000401506	k141_402082	4.0
RNODE_146_length_5606_cov_4.42067	k141_402017	plasmid	c_000000401374	detected	11	0.9743132470605992	0.999	True	True	0	k141_402017	5725	0.58	c_000000401374	k141_402017	11.0
RNODE_149_length_1949_cov_4.19357	k141_402143	plasmid	c_000000401567	detected	1	0.994944416177024	0.9989	True	True	0	k141_402143	2068	0.51	c_000000401567	k141_402143	1.0
RNODE_156_length_3948_cov_63.43887	k141_401962	plasmid	c_000000401069	detected	4	0.9930100417164884	0.999	True	True	0	k141_401962	4067	0.61	c_000000401069	k141_401962	4.0
RNODE_171_length_3474_cov_9.39716	k141_13214	plasmid	c_000000026831	detected	5		0.0324	False	False	0	k141_13214	327	0.43	c_000000026831	k141_13214	
RNODE_171_length_3474_cov_9.39716	k141_261831	plasmid	c_000000312085	detected	5		0.0326	False	False	0	k141_261831	321	0.43	c_000000312085	k141_261831	1.0
RNODE_171_length_3474_cov_9.39716	k141_327740	plasmid	c_000000030442	detected	5		0.0285	False	False	0	k141_327740	408	0.44	c_000000030442	k141_327740	1.0
RNODE_171_length_3474_cov_9.39716	k141_343811	plasmid	c_000000131466	detected	5		0.0325	False	False	0	k141_343811	460	0.44	c_000000131466	k141_343811	1.0
RNODE_171_length_3474_cov_9.39716	k141_352967	plasmid	c_000000029948	detected	5		0.0352	False	False	0	k141_352967	358	0.48	c_000000029948	k141_352967	1.0
RNODE_171_length_3474_cov_9.39716	k141_361829	plasmid	c_000000335950	detected	5		0.0405	False	False	0	k141_361829	396	0.43	c_000000335950	k141_361829	1.0
