classifier	assembler	sample	reference_genome	total_contigs	correctly_predicted_contigs	missed_contigs	coverage_ratio
DMC	megahit	0	RNODE_562_length_2033_cov_5.34232	1	1	0	1.0
DMC	megahit	0	RNODE_125_length_3363_cov_4.82640	1	1	0	1.0
DMC	megahit	0	RNODE_193_length_1789_cov_7.19864	1	1	0	1.0
DMC	megahit	0	RNODE_415_length_2147_cov_6.45506	1	1	0	1.0
DMC	megahit	0	RNODE_65_length_5443_cov_3.51540	1	1	0	1.0
DMC	megahit	0	RNODE_133_length_1956_cov_5.95398	1	1	0	1.0
DMC	megahit	0	RNODE_50_length_1796_cov_6.24352	1	0	1	0.0
DMC	megahit	0	RNODE_479_length_5023_cov_17.63107	1	1	0	1.0
DMC	megahit	0	RNODE_381_length_1819_cov_13.04118	1	1	0	1.0
DMC	megahit	0	RNODE_429_length_2129_cov_51.99106	1	1	0	1.0
DMC	megahit	0	RNODE_355_length_1663_cov_6.12066	1	1	0	1.0
DMC	megahit	0	RNODE_254_length_2341_cov_33.31005	1	1	0	1.0
DMC	megahit	0	RNODE_200_length_4574_cov_2.94178	1	1	0	1.0
DMC	megahit	0	RNODE_48_length_3658_cov_14.59323	1	1	0	1.0
DMC	megahit	0	RNODE_487_length_5196_cov_22.71473	6	2	4	0.3333333333333333
DMC	megahit	0	RNODE_474_length_1569_cov_5.24895	1	1	0	1.0
DMC	megahit	0	RNODE_74_length_1811_cov_7.67971	13	1	12	0.07692307692307693
DMC	megahit	0	RNODE_318_length_3470_cov_3.16589	1	1	0	1.0
DMC	megahit	0	RNODE_383_length_2253_cov_7.64097	1	1	0	1.0
DMC	megahit	0	RNODE_336_length_3563_cov_7.20249	1	1	0	1.0
DMC	megahit	0	RNODE_146_length_5606_cov_4.42067	1	1	0	1.0
DMC	megahit	0	RNODE_171_length_3474_cov_9.39716	12	0	12	0.0
DMC	megahit	0	RNODE_481_length_3960_cov_68.08874	1	1	0	1.0
DMC	megahit	0	RNODE_342_length_1543_cov_10.88823	1	1	0	1.0
DMC	megahit	0	RNODE_32_length_11742_cov_6.79514	1	0	1	0.0
DMC	megahit	0	RNODE_205_length_1591_cov_9.63735	1	1	0	1.0
DMC	megahit	0	RNODE_307_length_2104_cov_13.21902	1	1	0	1.0
DMC	megahit	0	RNODE_420_length_1334_cov_5.52134	1	0	1	0.0
DMC	megahit	0	RNODE_311_length_2760_cov_6.45983	2	1	1	0.5
DMC	megahit	0	RNODE_444_length_4937_cov_48.00188	1	1	0	1.0
DMC	megahit	0	RNODE_440_length_3551_cov_9.74435	1	1	0	1.0
DMC	megahit	0	RNODE_251_length_2763_cov_28.99562	6	1	5	0.16666666666666666
DMC	megahit	0	RNODE_149_length_1949_cov_4.19357	1	1	0	1.0
DMC	megahit	0	RNODE_411_length_4317_cov_4.49267	1	1	0	1.0
DMC	megahit	0	RNODE_435_length_5602_cov_25.16136	1	1	0	1.0
DMC	megahit	0	RNODE_459_length_2383_cov_4.68776	1	1	0	1.0
DMC	megahit	0	RNODE_93_length_1501_cov_3.34415	1	1	0	1.0
DMC	megahit	0	RNODE_258_length_1627_cov_2.34517	1	0	1	0.0
DMC	megahit	0	RNODE_277_length_1592_cov_15.82548	1	1	0	1.0
DMC	megahit	0	RNODE_423_length_1943_cov_28.57781	1	1	0	1.0
