reference_genomes	contigs	ID	mpspades_detection	num_gene_calls_reference	plasx_score	genomad_score	genomad_identified	plasx_identified	CAMI_Sample	name	contig_length	GC_contig	num_gene_calls_contig
RNODE_107_length_1496_cov_161.33989	NODE_178_length_1601_cov_8.168928_cutoff_0_type_circular	plasmid	detected	1	0.560614795106469	0.9191	True	False	0	NODE_178_length_1601_cov_8.168928_cutoff_0_type_circular	1601	0.64	2
RNODE_109_length_1521_cov_3.43229	NODE_171_length_1626_cov_153.798532_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2	0.4976472539611682	0.6535	False	False	0	NODE_171_length_1626_cov_153.798532_cutoff_0_type_circular	1626	0.58	3
RNODE_110_length_1672_cov_10.73939	NODE_149_length_1777_cov_7.295152_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2		0.9387	False	False	0	NODE_149_length_1777_cov_7.295152_cutoff_0_type_circular	1777	0.52	3
RNODE_125_length_3363_cov_4.82640	NODE_65_length_3468_cov_144.434301_cutoff_0_type_circular	plasmid	detected	4	0.9983077341879398	0.999	True	True	0	NODE_65_length_3468_cov_144.434301_cutoff_0_type_circular	3468	0.36	4
RNODE_133_length_1956_cov_5.95398	NODE_123_length_2061_cov_26.914168_cutoff_0_type_circular	plasmid	detected	3	0.9818380104058212	0.999	True	True	0	NODE_123_length_2061_cov_26.914168_cutoff_0_type_circular	2061	0.51	2
RNODE_139_length_3589_cov_11.15335	NODE_55_length_3694_cov_12.590973_cutoff_0_type_circular	plasmid	undetected_genomad	4	0.9682845351464696	0.9762	False	True	0	NODE_55_length_3694_cov_12.590973_cutoff_0_type_circular	3694	0.38	5
RNODE_146_length_5606_cov_4.42067	NODE_23_length_5711_cov_310.162428_cutoff_0_type_circular	plasmid	detected	11	0.9745249277296514	0.9991	True	True	0	NODE_23_length_5711_cov_310.162428_cutoff_0_type_circular	5711	0.59	11
RNODE_149_length_1949_cov_4.19357	NODE_124_length_2054_cov_15.485729_cutoff_0_type_circular	plasmid	detected	1	0.994944416177024	0.9991	True	True	0	NODE_124_length_2054_cov_15.485729_cutoff_0_type_circular	2054	0.51	1
RNODE_156_length_3948_cov_63.43887	NODE_47_length_4053_cov_25.747835_cutoff_0_type_circular	plasmid	detected	4	0.9930100417164884	0.9991	True	True	0	NODE_47_length_4053_cov_25.747835_cutoff_0_type_circular	4053	0.61	5
RNODE_171_length_3474_cov_9.39716	NODE_60_length_3579_cov_121.758691_cutoff_0_type_circular	plasmid	detected	5	0.948394419630642	0.9988	True	True	0	NODE_60_length_3579_cov_121.758691_cutoff_0_type_circular	3579	0.46	5
RNODE_193_length_1789_cov_7.19864	NODE_138_length_1894_cov_8.073571_cutoff_0_type_circular	plasmid	detected	3	0.99924290057891	0.9992	True	True	0	NODE_138_length_1894_cov_8.073571_cutoff_0_type_circular	1894	0.5	3
RNODE_200_length_4574_cov_2.94178	NODE_36_length_4679_cov_7.032293_cutoff_0_type_circular	plasmid	detected	7	0.267652225911532	0.9991	True	False	0	NODE_36_length_4679_cov_7.032293_cutoff_0_type_circular	4679	0.41	6
RNODE_205_length_1591_cov_9.63735	NODE_158_length_1696_cov_5.256851_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	2	0.4976472539611682	0.8878	False	False	0	NODE_158_length_1696_cov_5.256851_cutoff_0_type_circular	1696	0.61	3
RNODE_220_length_2011_cov_9.40825	NODE_119_length_2116_cov_30.341378_cutoff_0_type_circular	plasmid	undetected_genomad_plasx	3	0.4850372075237407	0.5782	False	False	0	NODE_119_length_2116_cov_30.341378_cutoff_0_type_circular	2116	0.39	2
RNODE_225_length_25884_cov_6.69550	NODE_2_length_25989_cov_21.357126_cutoff_0_type_circular	plasmid	detected	38	0.9999998348061798	0.9991	True	True	0	NODE_2_length_25989_cov_21.357126_cutoff_0_type_circular	25989	0.62	38
