0	1	2	3	4	5	6	7	8	9
RNODE_122_length_6709_cov_4.03320	2	1	2	8	0	0	0	0	0	0
RNODE_126_length_3157_cov_3.75885	1	1	1	1	0	0	0	0	2	0
RNODE_133_length_1956_cov_5.95398	1	4	1	1	1	1	1	1	1	1
RNODE_134_length_2327_cov_32.11800	1	1	1	1	3	1	2	1	2	0
RNODE_146_length_5606_cov_4.42067	1	1	8	1	5	1	20	1	8	1
RNODE_14_length_1961_cov_5.54358	1	1	1	1	1	1	1	1	2	1
RNODE_150_length_1379_cov_3.97642	1	1	1	1	5	1	1	1	1	1
RNODE_159_length_3592_cov_2.43025	1	1	1	1	2	1	1	1	1	1
RNODE_166_length_2298_cov_14.88049	1	1	1	2	0	2	1	1	1	1
RNODE_171_length_3474_cov_9.39716	12	2	1	1	2	1	1	1	1	3
RNODE_200_length_4574_cov_2.94178	1	1	1	1	3	1	5	1	1	1
RNODE_218_length_1465_cov_7.29868	1	1	1	1	1	1	1	4	1	1
RNODE_225_length_25884_cov_6.69550	2	1	1	1	1	19	1	1	1	1
RNODE_227_length_4381_cov_5.48337	2	1	1	1	1	1	1	1	1	1
RNODE_228_length_3093_cov_6.42006	2	1	3	3	17	10	8	1	1	4
RNODE_248_length_5318_cov_4.74604	1	1	1	6	1	4	2	1	1	2
RNODE_24_length_2639_cov_14.02331	1	1	1	1	1	1	2	1	4	0
RNODE_251_length_2763_cov_28.99562	6	1	1	4	0	0	0	1	3	1
RNODE_258_length_1627_cov_2.34517	1	1	1	1	1	2	1	1	0	0
RNODE_259_length_1574_cov_100.84149	1	2	1	1	1	1	3	2	1	1
RNODE_263_length_2277_cov_8.44168	1	1	1	1	1	1	3	1	1	0
RNODE_265_length_1287_cov_4.20553	1	0	1	2	0	0	0	0	0	0
RNODE_266_length_6653_cov_7.97753	2	1	1	2	1	0	5	3	1	0
RNODE_277_length_1592_cov_15.82548	1	1	3	7	2	2	1	1	3	1
RNODE_290_length_1262_cov_19.53548	1	3	1	1	1	1	1	1	1	1
RNODE_294_length_6942_cov_7.24595	1	2	1	1	1	5	0	1	1	1
RNODE_307_length_2104_cov_13.21902	1	1	1	1	1	0	1	2	2	1
RNODE_308_length_1875_cov_5.96654	1	1	2	1	1	0	1	1	1	4
RNODE_311_length_2760_cov_6.45983	2	1	2	1	1	1	1	1	1	0
RNODE_314_length_6164_cov_50.81211	1	1	2	8	1	1	1	1	1	1
RNODE_320_length_4859_cov_4.38495	1	1	1	1	1	3	0	1	1	1
RNODE_322_length_4175_cov_18.22923	1	1	1	1	1	2	1	1	1	1
RNODE_323_length_1696_cov_4.05556	1	0	0	0	1	2	1	0	0	0
RNODE_32_length_11742_cov_6.79514	1	1	1	7	1	1	1	1	1	1
RNODE_337_length_8771_cov_5.18162	1	0	2	1	0	1	1	1	1	0
RNODE_350_length_2314_cov_37.19546	1	1	1	0	0	0	0	0	2	1
RNODE_359_length_13543_cov_22.66711	1	1	1	1	1	1	1	1	2	4
RNODE_360_length_7414_cov_9.06737	1	1	1	1	4	1	1	1	1	1
RNODE_362_length_3387_cov_8.21902	1	2	1	1	1	1	1	1	1	1
